"","DocId","Date","Title","Source"
"1","1760458554","19391009","ROTARY CLUB","South China Morning Post Ltd."
"2","1759954737","19380104","ROTARY CLUB","South China Morning Post Ltd."
"3","1759968929","19380221","ROTARY CLUB","South China Morning Post Ltd."
"4","1538795509","19390116","ROTARY CLUB","South China Morning Post Ltd."
"5","1759999789","19380418","ROTARY CLUB","South China Morning Post Ltd."
"6","1759957991","19380110","ROTARY CLUB","South China Morning Post Ltd."
"7","1760006110","19380502","ROTARY CLUB","South China Morning Post Ltd."
"8","1759926063","19381128","ROTARY CLUB","South China Morning Post Ltd."
"9","1766386192","19480117","ROTARY CLUB","South China Morning Post Ltd."
"10","1760392661","19390206","ROTARY CLUB","South China Morning Post Ltd."
"11","1764473474","19400729","ROTARY CLUB","South China Morning Post Ltd."
"12","1760078082","19390123","ROTARY CLUB","South China Morning Post Ltd."
"13","1759825018","19370905","ROTARY CLUB","South China Morning Post Ltd."
"14","1759827916","19370911","ROTARY CLUB","South China Morning Post Ltd."
"15","1764460451","19400624","ROTARY CLUB","South China Morning Post Ltd."
"16","1759916879","19381031","ROTARY CLUB","South China Morning Post Ltd."
"17","1760032476","19380711","ROTARY CLUB","South China Morning Post Ltd."
"18","1764448575","19400513","ROTARY CLUB","South China Morning Post Ltd."
"19","1759937501","19381219","ROTARY CLUB","South China Morning Post Ltd."
"20","1760046916","19380822","ROTARY CLUB","South China Morning Post Ltd."
"21","1760396600","19390403","ROTARY CLUB","South China Morning Post Ltd."
"22","1760389787","19390130","ROTARY CLUB","South China Morning Post Ltd."
"23","1766483519","19480904","ROTARY CLUB","South China Morning Post Ltd."
"24","1759821549","19370829","ROTARY CLUB","South China Morning Post Ltd."
"25","1759940616","19381231","ROTARY CLUB","South China Morning Post Ltd."
"26","1759807080","19370726","ROTARY CLUB","South China Morning Post Ltd."
"27","1760008705","19380509","ROTARY CLUB","South China Morning Post Ltd."
"28","1760028115","19380702","ROTARY CLUB","South China Morning Post Ltd."
"29","1759804174","19370712","ROTARY CLUB","South China Morning Post Ltd."
"30","1759939300","19381224","ROTARY CLUB","South China Morning Post Ltd."
"31","1764446123","19400506","ROTARY CLUB","South China Morning Post Ltd."
"32","1760018466","19380604","ROTARY CLUB","South China Morning Post Ltd."
"33","1759960069","19380117","ROTARY CLUB","South China Morning Post Ltd."
"34","1759795931","19370531","ROTARY CLUB","South China Morning Post Ltd."
"35","1764440768","19400422","ROTARY CLUB","South China Morning Post Ltd."
"36","1764453746","19400603","ROTARY CLUB","South China Morning Post Ltd."
"37","1764452505","19400527","ROTARY CLUB","South China Morning Post Ltd."
"38","1760386165","19390417","ROTARY CLUB","South China Morning Post Ltd."
"39","1766358483","19470629","ROTARY CLUB","South China Morning Post Ltd."
"40","1759805396","19370719","ROTARY CLUB","South China Morning Post Ltd."
"41","1760385461","19390313","ROTARY CLUB","South China Morning Post Ltd."
"42","1759802358","19370705","ROTARY CLUB","South China Morning Post Ltd."
"43","1759877901","19371023","ROTARY CLUB","South China Morning Post Ltd."
"44","1759878280","19371024","ROTARY CLUB","South China Morning Post Ltd."
"45","1759636941","19350227","ROTARY CLUB","South China Morning Post Ltd."
"46","1535699377","19460109","ROTARY CLUB","South China Morning Post Ltd."
"47","1766393766","19490925","H.K. ROTARY CLUB","South China Morning Post Ltd."
"48","1766510236","19490104","KOWLOON ROTARY CLUB","South China Morning Post Ltd."
"49","1764481928","19400822","JAPAN ROTARY CLUB","South China Morning Post Ltd."
"50","1766322799","19470218","ROTARY CLUB CAMPAIGN","South China Morning Post Ltd."
"51","1759719378","19360720","ROTARY CLUB","South China Morning Post Ltd."
"52","1764536972","19410312","ROTARY CLUB MEETING","South China Morning Post Ltd."
"53","1764533557","19410319","ROTARY CLUB TIFFIN","South China Morning Post Ltd."
"54","1766326897","19410827","ROTARY CLUB MEETING","South China Morning Post Ltd."
"55","1764444564","19400429","ROTARY CLUB","South China Morning Post Ltd."
"56","1766494919","19480901","KOWLOON ROTARY CLUB","South China Morning Post Ltd."
"57","1766436483","19480707","KOWLOON ROTARY CLUB","South China Morning Post Ltd."
"58","1760124010","19400109","ROTARY CLUB SPEAKERS","South China Morning Post Ltd."
"59","1760150437","19400318","ROTARY CLUB SPEAKER","South China Morning Post Ltd."
"60","1760490401","19390926","ROTARY CLUB SPEAKER","South China Morning Post Ltd."
"61","1764550807","19410506","ROTARY CLUB SPEAKER","South China Morning Post Ltd."
"62","1764456945","19400610","ROTARY CLUB","South China Morning Post Ltd."
"63","1535755336","19460724","ROTARY CLUB NOVELTY","South China Morning Post Ltd."
"64","1764491322","19400928","ROTARY CLUB TIFFIN","South China Morning Post Ltd."
"65","1766536270","19490709","H.K. ROTARY CLUB","South China Morning Post Ltd."
"66","1535739453","19460514","ROTARY CLUB SPEAKER","South China Morning Post Ltd."
"67","1538796869","19390515","ROTARY CLUB MEETING","South China Morning Post Ltd."
"68","1760144691","19400305","ROTARY CLUB SPEAKER","South China Morning Post Ltd."
"69","1759923894","19381121","ROTARY CLUB SPEAKER","South China Morning Post Ltd."
